0	0	0	0.000
1	1	1	36.000
2	1	1	77.000
3	2	2	131.000
4	1	1	150.000
5	2	2	153.000
6	3	3	169.000
7	1	1	217.000
8	4	4	218.000
9	4	4	242.000
10	5	5	295.000
11	1	1	300.000
12	1	1	376.000
13	2	2	380.000
14	6	6	384.000
15	7	0	384.000
16	3	3	387.000
17	8	7	395.000
18	1	1	402.000
19	2	2	402.000
20	2	2	432.000
21	9	8	454.000
22	1	1	465.000
23	6	6	563.000
24	4	4	578.000
25	1	1	623.000
26	3	3	646.000
27	2	2	674.000
28	1	1	692.000
29	2	2	715.000
30	10	9	729.000
31	11	10	742.000
32	3	3	742.000
33	3	3	809.000
34	12	11	854.000
35	1	1	854.000
36	4	4	872.000
37	13	12	904.000
38	14	13	939.000
39	12	11	959.000
40	1	1	989.000
41	14	13	1026.000
42	14	13	1072.000
43	15	14	1142.000
44	12	11	1151.000
45	16	15	1153.000
46	17	16	1177.000
47	4	4	1199.000
48	4	4	1214.000
49	3	3	1226.000
50	18	17	1255.000
51	11	10	1301.000
52	19	18	1307.000
53	20	19	1308.000
54	21	20	1314.000
55	22	21	1340.000
56	3	3	1401.000
57	17	22	1451.000
58	11	10	1496.000
59	4	4	1508.000
60	23	23	1529.000
61	4	4	1531.000
62	24	24	1543.000
63	12	11	1555.000
64	25	25	1600.000
65	3	3	1607.000
66	4	4	1630.000
67	2	2	1643.000
68	26	26	1651.000
69	4	4	1664.000
70	4	4	1677.000
71	27	27	1682.000
72	11	10	1706.000
73	12	11	1713.000
74	28	28	1724.000
75	18	17	1729.000
76	29	29	1771.000
77	11	10	1789.000
78	2	2	1797.000
79	8	7	1805.000
80	4	4	1814.000
81	4	4	1827.000
82	30	30	1908.000
83	31	31	1914.000
84	28	28	1925.000
85	28	28	1996.000
86	16	22	2022.000
87	32	32	2053.000
88	4	4	2063.000
89	3	3	2075.000
90	33	33	2079.000
91	8	7	2098.000
92	4	4	2127.000
93	16	22	2131.000
94	24	24	2233.000
95	4	4	2285.000
96	3	3	2290.000
97	1	1	2313.000
98	3	3	2333.000
99	34	34	2343.000
100	16	22	2367.000
101	35	35	2377.000
102	3	3	2377.000
103	36	36	2382.000
104	3	3	2412.000
105	4	4	2438.000
106	16	22	2471.000
107	3	3	2494.000
108	27	27	2509.000
109	16	22	2521.000
110	12	11	2524.000
111	24	24	2534.000
112	28	28	2557.000
113	4	4	2561.000
114	16	22	2570.000
115	1	1	2574.000
116	14	13	2584.000
117	31	31	2588.000
118	34	34	2595.000
119	3	3	2602.000
120	4	4	2610.000
121	19	33	2627.000
122	31	31	2634.000
